m.a.	sítil dømis
maðkaboraður	síholutur
maðkadrumbur	sífiskur
maðkahøvd	síhøvur
maðkakrógv	sígoymsla
maðkapirra	sífiskur
maðkasíl	sífiskur
maðkasmogin	síholutur
maðkatos	síljóð
maðkatræ	síviður
maðkaveður	síveðurlag
maðkaviður	síviður
maðketin	síholutur
maðkur	síklumpur
maður	síhúsbóndi,kallvera,nakar,persónur
maður undanmanni	sírása
magabeita	síagn
magabløðing	síbløðing
magagulur	sílitaður
magahvítur	sílitaður
magailska	síbúkilska,pína
magakrymp	sípína
magalykt	sílampa
magapína	sípína
magasár	sísár
magasnertir	sípína
maggutur	síilla ílatin
magi	sílikam
magn	símark,megi
magna	síelva,megna,styrkja
magnandi	sísterkur
magnet	síatdráttarmegi
magnetiskur	síatdráttarmegi
magnetisma	síatdráttarmegi
magnetur	síatdráttarmegi
magnfullur	sísterkur
magnkelda	síorkukelda
magnleysur	síkraftleysur,útmøddur
magnloysi	símáttloysi
magnmikil	sísterkur
magnstjala	síhugtaka,máttsúgva
magur	sírakfallin
maikúgv	síneyt
maimánaðarsmør	sífitievni
mak	sífriður,tøgn
maka	síarbeiðaSamheiti:batna,blíðka,dvína,helma í,hæsa av,laga,lina,linka,linna,logna,lygna,læga,minka,moltna,skáa,slíta í,slota í,stillast,stilna,tolna,viknablíðka seg;detta av;doyggja burtur;gerast logn, stilli;gerast stilt;hvíla, lina á;kasta av;laga, maka, minka vindin;stilla, stilna av;□hann er afturblíðkaður;hann makaði, makar vindin;hann, tað stilti av;vindurin datt burtur(spakna)falla,spekja,stilla,stillast,linka,minka,viknadoyggja burtur;gerast spakari;□hann spekir streymin(slætna)kyrra,leggjast,lygna,løgabinda, stilla alduna, havið, sjógvin;blíðka seg;gerast kyrrur, slættur;gerast, vera løgi (millum óløgi);leggja seg;løga av;□hann kyrrar, leggur, makar sjógvin;nú kyrrar, makar↔blikastillur,góðveður,góðviðrað,klára í,minka,sjóvarilska,streymur,veðurhvíld
makaður	sígiftast,para
makaleysa	síógvuliga
makaleysur	sífrálíkur,hjálpsamur,óvanligur
makaloysi	síhjálp
makaskifta	síbýta
makaskifti	síbýti
makaskjal	síavrit
makast	Samheiti:áleggja,brunda,fukka,gilla,látrast,mogga,nagga,nurra,reðra,ríða,skrensa,snillast,springa,troða,troðast,ursafáa (sær) eitt hopp, nummar, skrens;fáa (sær)(eitt) lítið;fáa upp á pinnin, træið;fara í song við e-m;fara, vera at;ger tað við e-m;hava kynsliga samveru, kynsligt samband við e-m;hava samlegu;kenna konu;lata sáðið;liggja hjá;makast við;para seg;sova saman;vera áfastur, áføst við;vera saman kynsliga↔føða,graður,greði,kviðin,nørast,samlega,tvílívað
maki	sífjørður,hav,húsbóndi,líki,para,streymur,veðurhvíld
making	sísamlega
makingarførur	sítilkomin
makingarhol	síkvennskøp
makkari	sípartamaður
makliga	síróliga,vandaliga
makrelur	sífiskur
maks	sískrift
maksa	sískriva
makt	símegi,vald
makta	sílovprísa,máttsúgva,megna,tilbiðja
maktaður	síútmøddur
maktardropi	síútmøddur
maktarleysur	síútmøddur
maktarlítil	síkraftleysur
maktarloysi	símáttloysi
maktarmaður	síavtakafólk,kraftamaður
maktast	sítroyttast
maktgirnd	Samheiti:heimsveldisstevna,høvuðkambalótir,maktgreði,ráðaríki,sjálvrættvísi,valdfýsni,valdgirndráðaríkur atburður(heiðursgirnd)framasøkni,heiðurstráan,sømdarvilji,ærugirnd,ærusjúka,ærutrá↔tráAndheiti:eyðmýkt
maktgreði	símaktgirnd
maktsjúkur	síófúsur
mal	sírekavætti
mala	síendurtaka,ferðast,ganga,knúsa,sigla,svíma,tyngja
maladíggilsi	síbannan
malarbrúgv	sígrót
malargrót	sígrót
malargrótssteinur	sígrót
malarsteinur	sígrót
